Neighborhood,Rank,Population,2020 Average Sale Price,New Listings in 2020,Real Estate Rank,Schools Score,Crime Rank,X Factor Score
Hilltop,1,9524,1420148,229,2,4.3,7,8
Country Club,2,3032,1763760,68,1,3.4,11,8
South Park Hill,3,9546,735628,96,30,4.3,9,8
Washington Park West,4,7798,697991,174,9,3,27,9
Platt Park,5,5874,811690,190,6,4,44,8
Washington Park,6,7514,1024260,251,38,3,8,9.5
Congress Park,7,11475,643956,219,45,3.5,16,9
Wellshire,8,3525,641452,51,41,5,1,6
Sloan Lake,9,8189,675068,465,26,3.5,23,8
City Park,10,3677,651846,104,16,3,50,8.5
West Highland,11,9252,674079,142,42,3.5,35,8.5
Five Points,12,18924,591834,53,21,3.3,69,9.5
Hale,13,7748,373401,54,27,3,34,8
City Park West,14,5339,633822,97,5,3,65,8
University Park,15,8156,615804,135,22,3,25,6
Athmar Park,16,9233,403740,98,7,4,41,4.5
Harvey Park South,17,9638,443980,44,25,4,15,4
Hampden,18,20182,427906,88,10,3.3,37,5
Washington Virginia Vale,19,14793,484536,122,35,3.6,20,5.5
Montclair,20,5739,657482,292,4,3,46,5.5
Barnum West,21,6145,382892,55,19,4,12,3
Harvey Park,22,13338,433501,231,14,2.7,17,5
Skyland,23,3530,528762,133,15,2,28,6
Virginia Village,24,14437,548046,202,11,1,22,5.5
Westwood,25,17707,347675,127,24,3.5,31,5
